code,title,first_infraction_time,last_infraction_time,last_exec_time,last_submit_time,type,old_count
MLM2723519384,Audífonos Inalámbricos Bluetooth X15 Gamed V5.1 45984984,5/21/26,5/21/26,2026-06-30 17:01:31,,,1
MLM2727764261,Mouse Portátil 6d 2.4 Ghz Inalámbrico Óptico Usb,5/9/26,5/9/26,2026-06-20 02:41:10,,,1
MLM2736563219,"Llavero De La Mascota Del Mundial 2026, Colgante De &c6",6/11/26,6/11/26,2026-06-20 02:40:40,,,1
MLM2747267261,Zs Llaveros Londres 4 Piezas Regalos Británicos,6/7/26,6/7/26,2026-06-20 02:40:40,,,1
MLM2747383539,Y 32oz Botella De Agua Aislada Termo De Acero Inoxidable,4/9/26,4/9/26,2026-06-20 02:41:44,,,1
MLM2747396843,Llavero Ariel Sirenita Colección Zs Xm Llavero,5/25/26,5/25/26,2026-05-25 15:36:18,,,1
MLM2764831496,Ss Auriculares Invisibles Verdaderamente Inalámbricos Con,1/8/26,1/8/26,2026-04-20 18:16:11,,,1
MLM2782013381,Audífonos Inalámbricos Bluetooth X15 Gamed V5.1,5/9/26,5/9/26,2026-06-20 02:40:59,,,1
MLM2785571498,Tarjetas De Juego De Mesa De Birmingham De La Revolución,2/23/26,2/23/26,2026-04-20 18:16:11,,,1
MLM2787485991,Owala Freesip Termo De Acero Inoxidable 946 Ml,5/9/26,5/9/26,2026-06-20 02:40:59,,,1
MLM2816239626,Zs 16 Bolsas De Pvc Con Asa Y Botón Transparente,5/21/26,5/21/26,2026-06-30 17:01:31,,,1
MLM2826355451,Camiseta De Fútbol Local De La Copa Mundial De España,5/28/26,5/28/26,2026-06-20 02:40:49,,,12
MLM2826388131,Ratón Inalámbrico De La Computadora,3/28/26,3/28/26,2026-06-28 11:43:02,,,2
MLM2826388241,Ratón De Ordenador Universal Con Cable,3/28/26,3/28/26,2026-06-20 02:41:44,,,1
MLM2826400983,Ratón Óptico Con Cable,5/9/26,5/9/26,2026-06-20 02:40:59,,,1
MLM2826429917,Linterna Super Brillante Carga Tipo C,3/28/26,3/28/26,2026-06-20 02:41:44,,,1
MLM2863931888,Edición Especial Hello Kitty 32 Oz Zee Scl18,5/21/26,5/21/26,2026-06-30 17:01:31,,,1
MLM2870037351,Camiseta Sin Mangas De La Copa Del Mundo México México,4/16/26,4/16/26,2026-06-20 02:41:21,,,1
MLM2870042223,Uniformes De Fútbol Local Y Visitante De México 2026,4/16/26,4/16/26,2026-06-28 11:42:53,,,2
MLM2870042321,Camiseta De La Copa Mundial De México,4/16/26,4/16/26,2026-06-28 11:42:53,,,2
MLM2870042347,Camiseta Infantil De La Copa Del Mundo,4/16/26,4/16/26,2026-06-28 11:42:53,,,2
MLM2870045655,Camiseta De La Selección Nacional Del Mundial 2026,4/16/26,4/16/26,2026-06-20 02:41:21,,,1
MLM2870045909,Camiseta De Local For Aficionados De La Copa Mundial De,4/16/26,4/16/26,2026-06-28 11:42:53,,,2
MLM2870045999,Camiseta De La Copa Del Mundo 2026,4/16/26,4/16/26,2026-06-28 11:42:53,,,2
MLM2870050781,Camiseta De Manga Corta De La Copa Mundial 2026,4/16/26,4/16/26,2026-06-28 11:42:45,,,3
MLM2870098759,Camiseta Mundial México 2026,4/16/26,4/16/26,2026-06-28 11:42:45,,,3
MLM2872391011,Mundial México 2026 Local Uniformes De Fútbol Infantil,4/17/26,4/17/26,2026-06-28 11:42:45,,,4
MLM2872391079,Camiseta Player Edition Mundial 2026 México Local,4/17/26,4/17/26,2026-06-28 11:42:45,,,4
MLM2872391137,Camiseta De Fútbol De Manga Larga De La Copa Mundial,4/17/26,4/17/26,2026-06-28 11:42:45,,,4
MLM2880994830,Vaso Térmico Con Mango H2.0 De 40 Oz | Acero Aislado,5/21/26,5/21/26,2026-06-30 17:01:31,,,1
MLM2881913320,Muñeco De Acción Superman Dc Mcfarlane (silencio) En Blister,6/24/26,6/24/26,2026-06-30 17:01:28,,,1
MLM2898504702,Juegos De Mesa Con Diseño Estratégico Zy Cards.,4/7/26,4/7/26,2026-04-20 18:16:11,,,1
MLM2898543452,S25 Ultra 16 Gb + 1 Tb Teléfono Con Carga Rápida,4/14/26,4/14/26,2026-04-20 18:16:11,,,1
MLM3354335686,"Cartas Estrella Del Mundial 2026, 55 Cartas, Sjb2",5/21/26,5/21/26,2026-06-30 17:01:31,,,1
MLM3396181506,Compatible 55 Photocards De Blackpink - Jump Jump Black Pink,5/31/26,5/31/26,2026-06-30 17:01:28,,,1
MLM3396337730,"Tarjetas Estrella De La Copa Del Mundo 2026, 55 Tarjetas,",5/31/26,5/31/26,2026-06-30 17:01:28,,,1
MLM4564373540,"Bolso De Mano For Mujer, Bolso De Hombro For Portátil",6/7/26,6/7/26,2026-06-20 02:40:40,,,1
MLM4568062786,"Gafas De Sol Grandes Con Montura Ancha, Unisex, Modelo 003",5/9/26,5/9/26,2026-06-20 02:40:59,,,1
MLM4586612416,Funda De Aleación De Aluminio Anticaídas For iPhone 17,3/27/26,3/27/26,2026-06-20 02:41:55,,,1
MLM4587564832,Funda Resistente A Caídas De 2 Piezas For iPhone 17 Pro/pro,3/26/26,3/26/26,2026-06-28 11:43:10,,,2
MLM4601507614,Peluca Cabello Larga Natural For Mujer Marrón Con H &am,3/26/26,3/26/26,2026-06-20 02:41:55,,,1
MLM4605014862,Gorra Con Diseño De Gorro Bj Billie Eilish Nuevo + Mismo Cue,3/26/26,3/26/26,2026-06-20 02:42:06,,,1
MLM4614187624,- Boquilla Natural Para Biberón - Tetina Que Fluye Rápidamen,2/16/26,2/16/26,2026-06-20 02:42:24,,,1
MLM4653181750,Bolso Tipo Bombonera De Piel Polene Con Múltiples Pliegues,2/16/26,2/16/26,2026-06-20 02:42:24,,,1
MLM4653335686,. Hub 8 En 1 Con Usb C A Hdmi Y Ethernet,3/26/26,3/26/26,2026-06-20 02:42:06,,,1
MLM4808930954,Calentador Eléctrico De Cuarzo Para Hogar 127/220 V Xhd Prem,2/19/26,2/19/26,2026-06-20 02:42:24,,,1
MLM4811149116,Paraguas Automático Bts Resistente A Uv,3/26/26,3/26/26,2026-06-28 11:43:02,,,2
MLM4862605974,"Gorro Con Peluca, Peluca Adjunta, Larga Y Ondulada",3/26/26,3/26/26,2026-06-28 11:43:10,,,2
MLM4863203426,Gorra De Running Summer Ultrafina Secado Rápido,3/26/26,3/26/26,2026-06-20 02:41:55,,,1
MLM4990453076,Bj Billie Eilish Beanie Design Hat Nuevo + Mismo Collar,3/12/26,3/12/26,2026-06-28 11:43:18,,,2
MLM5090038906,Camiseta De Local De La Copa Mundial,5/28/26,5/28/26,2026-06-26 22:39:44,,,13
MLM5170326532,Heishe Auriculares Bluetooth P47m Cat Ear,5/9/26,5/9/26,2026-06-26 22:39:56,,,2
MLM5199196500,Uniformes De Fútbol De La Copa Mundial 2026,4/16/26,4/16/26,2026-06-28 11:42:53,,,2
MLM5199197546,98 Camiseta Retro De México,4/16/26,4/16/26,2026-06-20 02:41:33,,,1
MLM5199215060,Conjunto De Uniforme De Fútbol 2026,4/16/26,4/16/26,2026-06-28 11:43:02,,,2
MLM5199216986,Camiseta De Mexico 1998,4/16/26,4/16/26,2026-06-20 02:41:33,,,1
MLM5199251846,Colección De Camisetas De La Copa Mundial De Estados,4/16/26,4/16/26,2026-06-20 02:41:33,,,1
MLM5199257236,Camisetas De La Edición De Jugador Local Y Visitante De La,4/16/26,4/16/26,2026-06-28 11:42:53,,,2
MLM5199395742,Uniformes De Fútbol Local Y Visitante De México 2026,4/16/26,4/16/26,2026-06-28 11:42:45,,,3
MLM5204725252,Camiseta Del Mundial 2026 Camiseta De La Selección Nacional,4/17/26,4/17/26,2026-06-26 22:39:56,,,2
MLM5431591036,"Álbum De Pegatinas De Las Estrellas Del Mundial 2026, 55",5/31/26,5/31/26,2026-06-28 11:42:36,,,4
MLM5431616672,Compatible 55 Photocards De Blackpink - Jump Jump Black Pink,5/31/26,5/31/26,2026-06-20 02:40:49,,,1
MLM5432201386,Y Zcorsé Columbia Faja Corsette Victoriano Corset Con,5/31/26,5/31/26,2026-06-20 02:40:49,,,1
MLM5432253796,Bufanda De Apoyo A Los Fanáticos De La Copa Mundial,5/31/26,5/31/26,2026-06-26 22:39:44,,,2
MLM5432770584,Sh Gafas De Sol Polarizadas Negras For Hombre Y,5/31/26,5/31/26,2026-06-20 02:40:49,,,1
MLM655983187,Nuevos Relojes Richard Mill 2025 Rm4004 De Moda,5/17/26,5/17/26,2026-06-26 20:35:32,,,1
MLM669483451,Nuevos Relojes Richard Mill 2025 Rm4004 De Moda,5/17/26,5/17/26,2026-06-26 20:35:32,,,1
